Drug Name,Uses,SideEffect
Keytruda,"keytruda (pembrolizumab) is an immunotherapy medication that may be used to treat at least 19 different types of cancer such as melanoma, non-small cell lung cancer (nsclc), head and neck squamous cell cancer (hnscc), classical hodgkin lymphoma, endometrial carcinoma, triple-negative breast cancer, and some colorectal cancers.","the most common side effects of keytruda when it is used alone are: feeling tired/fatigue pain, including pain in the stomach, muscles, bones, or joints rash or itching diarrhea fever cough decreased appetite shortness of breath constipation nausea low levels of thyroid hormone. side effects of keytruda that are more common in children than adults when it is used alone are: fever vomiting headache stomach area pain low levels of white blood cells. the most common side effects of keytruda when it is used in combination with chemotherapy or radiotherapy treatments include: feeling tired or weak nausea constipation diarrhea decreased appetite rash vomiting cough trouble breathing fever hair loss inflammation of the nerves that may cause pain weakness and paralysis in the arms and legs swelling of the lining of the mouth, nose, eyes, throat, intestines, or vagina mouth sores headache weight loss stomach-area (abdominal), joint, or muscle pain, trouble sleeping bleeding blisters, or rash on the palms of your hands and soles of your feet urinary tract infection low levels of thyroid hormone. nausea, vomiting, stomach pain, loss of appetite, diarrhea, constipation, weight loss low blood sodium levels, abnormal thyroid, liver and kidney function tests low blood cell counts tingling or numbness in your hands or feet, loss of movement in the arms and legs bleeding pain and burning when you urinate fever, headache, feeling weak or tired, dizziness, trouble sleeping cough, hoarse voice, feeling short of breath changes in your sense of taste, dry skin, and dry eyes itching, hair loss, rash, or blisters on your hands or feet increased blood pressure pain in your muscles, bones, or joints mouth sores or swelling around your mouth, nose, eyes, throat, intestines, or vagina tingling or numbness in your arms or legs. prompt medical attention of these side effects is crucial. your doctor will monitor you during keytruda treatment. serious side effects and warnings keytruda is a medicine that works with your immune system to treat certain cancers. keytruda can cause your immune system to attack normal organs and tissues in any area of your body and can cause serious side effects. these problems can sometimes become severe or life-threatening and can lead to death. you can have more than one of these problems at the same time. these problems may happen anytime during treatment or even after your treatment has ended call or see your healthcare provider right away if you develop any new or worsening signs or symptoms, including: lung problems, such as cough, shortness of breath, or chest pain intestinal problems, such as:  diarrhea (loose stools) or more frequent bowel movements than usual stools that are black, tarry, sticky, or have blood or mucus severe stomach-area (abdomen) pain or tenderness.  liver problems such as  yellowing of your skin or the whites of your eyes dark urine (tea colored) severe nausea or vomiting bleeding or bruising more easily than normal pain on the right side of your stomach area (abdomen).  hormone gland problems, such as  headaches that will not go away or unusual headaches urinating more often than usual eye sensitivity to light hair loss eye problems feeling cold rapid heartbeat constipation increased sweating your voice gets deeper extreme tiredness dizziness or fainting weight gain or weight loss changes in mood or behavior, such as decreased sex drive, irritability, or forgetfulness feeling more hungry or thirsty than usual.  kidney problems, such as  decrease in your amount of urine swelling of your ankles blood in your urine loss of appetite.  skin problems, such as  rash painful sores or ulcers in your mouth or your nose, throat, or genital area itching fever or flu-like symptoms skin blistering or peeling swollen lymph nodes.  any new or worsening signs or symptoms in other organs, which may include:  chest pain, irregular heartbeat, shortness of breath, swelling of ankles confusion, sleepiness, memory problems, changes in mood or behavior, stiff neck, balance problems, tingling or numbness of the arms or legs double vision, blurry vision, sensitivity to light, eye pain, changes in eyesight persistent or severe muscle pain or weakness, muscle cramps low red blood cells, and bruising.  infusion reactions can sometimes be severe or life-threatening. signs and symptoms may include:  chills or shaking dizziness itching or rash feeling like passing out flushing fever shortness of breath or wheezing back pain. for people who have had an organ transplant, keytruda may cause rejection of a transplanted organ or tissue. your healthcare provider should tell you what signs and symptoms you should report and monitor you depending on the type of organ or tissue transplant that you have had. complications, including graft-versus-host-disease (gvhd), in people who have received a bone marrow (stem cell) transplant that uses donor stem cells (allogeneic). these complications can be serious and can lead to death. these complications may happen if you underwent transplantation either before or after being treated with keytruda. your healthcare provider will monitor you for these complications. get emergency medical help if you have signs of an allergic reaction to keytruda (hives, difficulty breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). keytruda may cause harm to an unborn baby. females of reproductive potential should use effective contraception. getting medical treatment right away for these side effects may help keep these problems from becoming more serious. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. keytruda side effects (more detail)"
Lexapro,"lexapro (escitalopram) is an antidepressant from the group of drugs called selective serotonin reuptake inhibitors (ssris) and is used to treat certain types of depression and anxiety. it is not known how lexapro works, but it is thought to block the reuptake of serotonin by nerves. this results in an increase in serotonin concentrations in the nerve synapse (the space between two nerves).","common side effects of lexapro may include: painful urination; dizziness, drowsiness, tiredness, weakness; feeling anxious or agitated; increased muscle movements, feeling shaky; sleep problems (insomnia); sweating, dry mouth, increased thirst, loss of appetite; nausea, constipation; yawning; nosebleed, heavy menstrual periods; or decreased sex drive, impotence, or difficulty having an orgasm. serious side effects get emergency medical help if you have signs of an allergic reaction to lexapro: skin rash or hives; difficulty breathing; swelling of your face, lips, tongue, or throat. report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. lexapro may cause serious side effects. call your doctor at once if you have: blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;   racing thoughts, unusual risk-taking behavior, feelings of extreme happiness or sadness;   pain or burning when you urinate;   (in a child taking lexapro) slow growth or weight gain;   low levels of sodium in the body - headache, confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady; or   severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. lexapro side effects (more detail)"
Lisinopril,lisinopril is used alone or in combination with other medications to treat high blood pressure in adults and children 6 years of age and older.,"get emergency medical help if you have signs of an allergic reaction to lisinopril: severe stomach pain, hives, difficult breathing, swelling of your face, lips, tongue, or throat. lisinopril may cause serious side effects. call your doctor at once if you have: a light-headed feeling, like you might pass out;   high blood potassium - nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement;   low white blood cell counts - fever, mouth sores, skin sores, sore throat, cough;   kidney problems - swelling, urinating less, feeling tired or short of breath; or   liver problems - loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). common lisinopril side effects may include: headache, dizziness;   low blood pressure, cough; or   chest pain. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. lisinopril side effects (more detail)"
Lofexidine,"lofexidine works by blocking the release of norepinephrine, a hormone similar to adrenaline that contributes to opioid withdrawal symptoms.","get emergency medical help if you have signs of an allergic reaction to lofexidine: hives; difficult breathing; swelling of your face, lips, tongue, or throat. call your doctor at once if you have: slow heartbeats;   severe dizziness or drowsiness; or   a light-headed feeling, like you might pass out. common lofexidine side effects may include: low blood pressure;   dizziness (especially when standing up);   drowsiness; or   dry mouth. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. lofexidine side effects (more detail)"
Loratadine,"loratadine is an antihistamine that reduces the effects of natural chemical histamine in the body. histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose.","get emergency medical help if you have signs of an allergic reaction to loratadine: hives; difficult breathing; swelling of your face, lips, tongue, or throat. stop using this medicine and call your doctor at once if you have: fast or uneven heart rate;   severe headache; or   a light-headed feeling, like you might pass out; common loratadine side effects may include: headache;   feeling tired or drowsy;   stomach pain, vomiting;   dry mouth; or   feeling nervous or hyperactive. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. loratadine side effects (more detail)"
Can you give loratadine to dogs,n/a,n/a
Lyrica,"lyrica was originally fda approved as an anti-epileptic drug, also called an anticonvulsant. it works by slowing down impulses in the brain that cause seizures. pregabalin also affects chemicals in the brain that send pain signals across the nervous system.","lyrica can cause a severe allergic reaction. stop taking this medicine and get emergency medical help if you have: hives or blisters on your skin; difficult breathing; swelling of your face, lips, tongue, or throat. report any new or worsening symptoms to your doctor, such as: mood or behavior changes, depression, anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), or have thoughts about suicide or hurting yourself. call your doctor at once if you have: weak or shallow breathing;   blue-colored skin, lips, fingers, and toes;   confusion, extreme drowsiness or weakness;   vision problems;   skin sores (if you have diabetes);   easy bruising, unusual bleeding;   swelling in your hands or feet, rapid weight gain (especially if you have diabetes or heart problems); or   unexplained muscle pain, tenderness, or weakness (especially if you also have fever or don't feel well). pregabalin can cause life-threatening breathing problems. a person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. breathing problems may be more likely in older adults or in people with copd. if you have diabetes, tell your doctor right away if you have any new sores or other skin problems. common lyrica side effects may include: dizziness, drowsiness;   swelling in your hands and feet;   trouble concentrating;   increased appetite;   weight gain;   dry mouth; or   blurred vision. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. lyrica side effects (more detail)"
Melatonin,"melatonin is an oral, over-the-counter (otc) dietary supplement available without a prescription in the u.s. it is often used to help with jet lag or trouble sleeping and comes as tablets, capsules, an oral liquid and chewable gummies.","the most common melatonin side effect in children is morning drowsiness. other common side effects in children include: bedwetting headache dizziness nausea diarrhea possible increased risk for seizures in children with severe neurological disorders. dietary melatonin supplements can still have drug interactions or health risks if you have certain medical conditions, upcoming surgery, or other health concerns. melatonin side effects (more detail)"
Meloxicam,"meloxicam is a nonsteroidal anti-inflammatory drug (nsaid). it works by reducing hormones that cause pain, fever, and inflammation in the body.","get emergency medical help if you have signs of an allergic reaction to meloxicam (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). get emergency medical help if you have signs of a heart attack or stroke: chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, feeling short of breath. meloxicam may cause serious side effects. stop using this medicine and call your doctor at once if you have: the first sign of any skin rash, no matter how mild;   shortness of breath (even with mild exertion);   swelling or rapid weight gain;   signs of stomach bleeding - bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds;   liver problems - nausea, upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes);   low red blood cells (anemia) - pale skin, unusual tiredness, feeling light-headed, cold hands and feet; or   kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath. common meloxicam side effects may include: stomach pain, nausea, vomiting, heartburn;   diarrhea, constipation, gas;   dizziness; or   cold symptoms, flu symptoms. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. meloxicam side effects (more detail)"
Metformin,"metformin is an fda-approved antidiabetic agent that manages high blood sugar levels in type 2 diabetes patients. it reduces glucose absorption from the intestines, lowers liver glucose production, and improves insulin sensitivity. metformin is recommended with dietary changes and exercise for better results.","get emergency medical help if you have signs of an allergic reaction to metformin: hives; difficult breathing; swelling of your face, lips, tongue, or throat. some people using this medicine develop lactic acidosis, which can be fatal. get emergency medical help if you have even mild symptoms such as: unusual muscle pain;   feeling cold;   trouble breathing;   feeling dizzy, light-headed, tired, or very weak;   stomach pain, vomiting; or   slow or irregular heart rate. common metformin side effects may include: low blood sugar;   nausea, upset stomach; or   diarrhea. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. metformin side effects (more detail)"
Methadone,"methadone is a long-acting opioid medication that is used to reduce withdrawal symptoms in people addicted to heroin or other narcotic drugs, and it can also used as a pain reliever.when methadone is used for opioid use disorder (oud) it reduces withdrawal symptoms and drug cravings, but does not cause the ""high"" associated with the drug addiction. methadone is highly regulated medication (schedule 2 controlled substances act) and when used for oud is only available through approved opioid treatment programs (otp) that involves regular monitoring, counseling, and drug testing to make sure that patients are making progress in their recovery.","get emergency medical help if you have signs of an allergic reaction to methadone: hives; difficult breathing; swelling of your face, lips, tongue, or throat. opioid medicine can slow or stop your breathing, and death may occur. a person caring for you should give naloxone and/or seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. serious methadone side effects. call your doctor at once if you have: weak or shallow breathing, breathing that stops during sleep;   severe constipation;   a light-headed feeling, like you might pass out;   fast or pounding heartbeats, fluttering in your chest, shortness of breath;   low cortisol levels - nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness; or   serotonin syndrome - agitation, hallucinations, fever, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, diarrhea. serious breathing problems may be more likely in older adults and people who are debilitated or have wasting syndrome or chronic breathing disorders. common methadone side effects may include: dizziness, drowsiness;   nausea, vomiting;   increased sweating; or   pain, redness, or swelling where the medicine was injected. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. methadone side effects (more detail)"
Methotrexate,"methotrexate interferes with the growth of certain cells of the body, especially cells that reproduce quickly, such as cancer cells, bone marrow cells, and skin cells.","common side effects of methotrexate common methotrexate side effects may include: fever, chills, tiredness, not feeling well;   low blood cell counts;   mouth sores;   nausea, stomach pain;   abnormal liver function tests;   hair loss;   burning skin lesions; or   being more sensitive to light. serious methotrexate side effects get emergency medical help if you have signs of an allergic reaction to methotrexate: (hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). methotrexate can cause serious or fatal side effects. call your doctor at once if you have: sudden chest pain, wheezing, dry cough, cough with mucus, chest pain, feeling short of breath;   fever, chills, swollen lymph glands, night sweats, weight loss;   blisters or ulcers in your mouth, red or swollen gums, trouble swallowing;   vomiting, diarrhea, blood in your urine or stools;   skin changes such as redness, warmth, swelling, or oozing;   low blood cell counts - fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath;   kidney problems - little or no urination, swelling in your feet or ankles;   liver problems - swelling around your midsection, right-sided upper stomach pain, nausea, loss of appetite, dark urine, jaundice (yellowing of the skin or eyes);   nerve problems - confusion, weakness, drowsiness, coordination problems, feeling irritable, headache, neck stiffness, vision problems, loss of movement in any part of your body, seizure; or   signs of tumor cell breakdown - tiredness, weakness, muscle cramps, nausea, vomiting, diarrhea, fast or slow heart rate, tingling in your hands and feet or around your mouth. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. methotrexate side effects (more detail)"
Metoprolol,metoprolol is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins).,"get emergency medical help if you have signs of an allergic reaction to metoprolol: hives; difficulty breathing; swelling of your face, lips, tongue, or throat. metoprolol may cause serious side effects. call your doctor at once if you have: very slow heartbeats; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; or cold feeling in your hands and feet. common side effects of metoprolol may include: dizziness; tired feeling; depression; confusion; memory problems; nightmares; trouble sleeping; diarrhea; mild itching or rash. this is not a complete list of side effects and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. metoprolol side effects (more detail)"
Mounjaro,"mounjaro (tirzepatide) is used for type 2 diabetes to help lower blood sugar levels, and tirzepatide also causes weight loss. mounjaro is a once-weekly injection that should be used along with diet and exercise. mounjaro works by helping the pancreas release more insulin, lowering the amount of sugar your liver makes, and slowing the rate food passes through your body, making you feel full longer.","common mounjaro side effects the most common mounjaro side effects include nausea, diarrhea, decreased appetite, vomiting, constipation, heartburn (dyspepsia), and abdominal pain, which affects 5% or more patients. stomach or gastrointestinal mounjaro side effects are common but tend to be mild and improve after a few weeks in most people and do not interfere with long-term treatment. stomach side effects can be more common with higher doses. the most common gastrointestinal mounjaro side effect is nausea, which occurs in about 12% to 18% of people. other side effects include vomiting (5% to 9%), diarrhea (12% to 17%), stomach-area pain (5% to 6%), and constipation (6% to 7%). these side effects occurred at rates higher than the placebo-treated groups (receiving an inactive treatment). more patients receiving mounjaro 5mg (3.0%), 10 mg (5.4%), and 15mg (6.6%) discontinued treatment due to stomach side effects than patients receiving placebo (0.4%). stomach side effects usually occur at the beginning of treatment and if your dose is increased too quickly. because of this, your healthcare provider will slowly increase your dose every 4 weeks as needed until you reach your target dose. you can take this medicine with or without meals. tips for managing stomach mounjaro side effects following these tips may help you manage stomach mounjaro side effects: eat more slowly eat smaller meals chose more bland, low-fat foods (like crackers, toast and rice) avoid greasy, fried foods or sugar treats eat foods that contain water (like soup or gelatin) don’t lie down right after eating drink clear or ice-cold liquids if possible, go outside for fresh air if you feel sick to your stomach serious mounjaro side effects serious mounjaro side effects include severe stomach problems, acute kidney damage, gallbladder disease, acute pancreatitis (inflamed pancreas), serious allergic reactions, low blood sugar levels (hypoglycemia), diabetic retinopathy issues in type 2 diabetics, and food or liquid getting into the lungs during anesthesia or deep sedation. stop using this medicine and get emergency medical help if you have: signs of an allergic reaction: hives; difficulty breathing; feeling light-headed; swelling of your face, lips, tongue, or throat; or pancreatitis with symptoms of severe pain in your upper stomach spreading to your back, nausea and vomiting. call your doctor at once if you have: severe stomach problems; eye side effects or vision changes, including blurry vision or blurred vision; signs of a thyroid tumor symptoms may include swelling or a lump in your neck, trouble swallowing, a hoarse voice, or if you feel short of breath; gallbladder problem with symptoms including chalky-colored stools, stomach pain after eating, nausea, heartburn, bloating, and severe upper stomach pain that may spread to your back; low blood sugar symptoms may include headache, hunger, weakness, sweating, confusion, irritability, dizziness, fast heart rate, or feeling jittery; or kidney problems with little or no urination, swelling in your feet or ankles, feeling tired or short of breath. this is not a complete list of side effects, and others may occur. call your doctor for medical advice about side effects. you may report side effects to fda at 1-800-fda-1088. mounjaro side effects (more detail)"
Naltrexone,"naltrexone is a prescription medication used to treat alcohol use disorder (aud) and opioid use disorder (oud) to reduce cravings and help control physiological dependence. naltrexone works by blocking the effects of alcohol and opioid medications, preventing the euphoria and intoxication (the “buzz”) these substances cause, and it also helps reduce the urge or cravings to use alcohol or opioids.","common naltrexone side effects common side effects of naltrexone may include nausea, vomiting, loss of appetite, joint pain, muscle cramps, headache, dizziness, drowsiness, sleep problems (insomnia), tooth pain or cold symptoms such as stuffy nose, sneezing, sore throat, feeling, anxious or nervous. serious naltrexone side effects get emergency medical help if you have signs of an allergic reaction: hives, difficulty breathing, swelling of your face, lips, tongue, or throat. using opioid medicine while you are receiving this medicine could stimulate opioid withdrawal symptoms. common withdrawal symptoms are craving for opioids, sweating, yawning, fever, stomach pain, vomiting, diarrhea, watery eyes, runny or stuffy nose, tingling, goose bumps, body aches, shaking, muscle twitching, trouble sleeping, feeling anxious, depressed, fearful, restless or uneasy. naltrexone may cause other serious side effects. call your doctor at once if you have: weak or shallow breathing; cough that does not go away; new or worsening cough, wheezing, trouble breathing; severe nausea, vomiting, or diarrhea; severe pain, swelling, blistering, skin changes, a dark scab, or a hard lump where the medicine was injected; liver problems - stomach pain (upper right side), dark urine, tiredness, vomiting, loss of appetite, clay-colored stools, jaundice (yellowing of the skin or eyes); or symptoms of depression - unusual mood or behavior changes, loss of interest in things you once enjoyed, crying, new sleep problems, thoughts about hurting yourself. you may feel nauseated the first time you receive an injection of this medicine. you may also have a headache, tiredness, joint and muscle pain, loss of appetite, and vomiting. tell your healthcare provider if you have any side effect that bothers you, or that does not go away. this is not a complete list of side effects, and others may occur. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. naltrexone side effects (more detail)"
